Player's List,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,Team
Shivam Mavi,4000000,BOWLER,6.0,720.0,KKR,Gujarat Titans
Kane Williamson,20000000,BATSMAN,2.0,240.0,SRH,Gujarat Titans
K.S. Bharat,2000000,WICKETKEEPER,1.2,144.0,DC,Gujarat Titans
Odean Smith,5000000,ALL-ROUNDER,0.5,60.0,PBKS,Gujarat Titans
Rahul Tewatia,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
Pradeep Sangwan,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
Rashid Khan,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
R. Sai Kishore,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
Yash Dayal,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
Noor Ahmad,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
Wriddhiman Saha,Retained,WICKETKEEPER,0.0,0.0,GT,Gujarat Titans
Vijay Shankar,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
Shubman Gill,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans
Hardik Pandya,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
B. Sai Sudharsan,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
Alzarri Joseph,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
Abhinav Sadarangani,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans
Darshan Nalkande,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
David Miller,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans
Matthew Wade,Retained,WICKETKEEPER,0.0,0.0,GT,Gujarat Titans
Jayant Yadav,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
Mohammad Shami,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
Ajinkya Rahane,5000000,BATSMAN,0.5,60.0,KKR,Chennai Super Kings
Bhagath Varma,2000000,ALL-ROUNDER,0.2,24.0,CSK,Chennai Super Kings
Ravindra Jadeja,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
Prashant Solanki,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Ruturaj Gaikwad,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
Tushar Deshpande,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Mukesh Choudhary,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Subhranshu Senapati,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
Simarjeet Singh,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Shivam Dube,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
Matheesha Pathirana,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Devon Conway,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
Deepak Chahar,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Ambati Rayudu,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
Dwaine Pretorius,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
Maheesh Theekshana,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
Moeen Ali,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
Mitchell Santner,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
MS Dhoni,Retained,WICKETKEEPER,0.0,0.0,CSK,Chennai Super Kings
Manish Pandey,10000000,BATSMAN,2.4,288.0,LSG,Delhi Capitals
Ripal Patel,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Pravin Dubey,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Rishabh Pant,Retained,WICKETKEEPER,0.0,0.0,DC,Delhi Capitals
Prithvi Shaw,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
Syed Khaleel Ahmed,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
Yash Dhull,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Vicky Ostwal,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Mustafizur Rahman,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
Sarfaraz Khan,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Rovman Powell,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
Lalit Yadav,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Axar Patel,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Anrich Nortje,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
Aman Khan (T),Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Chetan Sakariya,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
David Warner,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
Lungisani Ngidi,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
Kuldeep Yadav,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
Kamlesh Nagarkoti,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
Mitchell Marsh,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
N. Jagadeesan,2000000,WICKETKEEPER,0.9,108.0,CSK,Kolkata Knight Riders
Vaibhav Arora,2000000,BOWLER,0.6,72.0,PBKS,Kolkata Knight Riders
Mandeep Singh,5000000,BATSMAN,0.5,60.0,DC,Kolkata Knight Riders
Sunil Narine,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Shreyas Iyer,Retained,BATSMAN,0.0,0.0,KKR,Kolkata Knight Riders
Tim Southee,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Umesh Yadav,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Varun Chakaravarthy,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Shardul Thakur (T),Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Venkatesh Iyer,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
Harshit Rana,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Anukul Roy,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
Andre Russell,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
Lockie Ferguson (T),Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
Nitish Rana,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
Rahmanullah Gurbaz (T),Retained,WICKETKEEPER,0.0,0.0,KKR,Kolkata Knight Riders
Rinku Singh,Retained,BATSMAN,0.0,0.0,KKR,Kolkata Knight Riders
Liam Livingstone,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Baltej Singh Dhanda,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
Atharva Taide,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Bhanuka Rajapakse,Retained,BATSMAN,0.0,0.0,PBKS,Punjab Super Kings
Jitesh Sharma,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
Nathan Ellis,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
Jonny Bairstow,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
Kagiso Rabada,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
Harpreet Brar,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Shahrukh Khan,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Shikhar Dhawan,Retained,BATSMAN,0.0,0.0,PBKS,Punjab Super Kings
Rahul Chahar,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
Arshdeep Singh,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
Prabhsimran Singh,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
Raj Angad Bawa,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Rishi Dhawan,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
Nicholas Pooran,20000000,WICKETKEEPER,16.0,1920.0,SRH,Lucknow Super Giants
Daniel Sams,7500000,ALL-ROUNDER,0.75,90.0,MI,Lucknow Super Giants
Jaydev Unadkat,5000000,BOWLER,0.5,60.0,MI,Lucknow Super Giants
Romario Shepherd,5000000,ALL-ROUNDER,0.5,60.0,SRH,Lucknow Super Giants
Prerak Mankad,2000000,ALL-ROUNDER,0.2,24.0,PBKS,Lucknow Super Giants
Mark Wood,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
Marcus Stoinis,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Mayank Yadav,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
Mohsin Khan,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
Quinton De Kock,Retained,WICKETKEEPER,0.0,0.0,LSG,Lucknow Super Giants
Manan Vohra,Retained,BATSMAN,0.0,0.0,LSG,Lucknow Super Giants
Ravi Bishnoi,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
Deepak Hooda,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Ayush Badoni,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Avesh Khan,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
K. Gowtham,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Karan Sharma,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Krunal Pandya,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
KL Rahul,Retained,BATSMAN,0.0,0.0,LSG,Lucknow Super Giants
Kyle Mayers,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
Vishnu Vinod,2000000,WICKETKEEPER,0.2,24.0,SRH,Mumbai Indians
Ramandeep Singh,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
N. Tilak Varma,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Mohd. Arshad Khan,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Rohit Sharma,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
Suryakumar Yadav,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
Kumar Kartikeya Singh,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Tristan Stubbs*,Retained,WICKETKEEPER,0.0,0.0,MI,Mumbai Indians
Tim David,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Hrithik Shokeen,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Arjun Tendulkar,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Akash Madhwal,Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
Dewald Brevis,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
Ishan Kishan,Retained,WICKETKEEPER,0.0,0.0,MI,Mumbai Indians
Jasprit Bumrah,Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
Jason Behrendorff (T),Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
Jofra Archer,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
Rajat Patidar,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
Mahipal Lomror,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Shahbaz Ahamad,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Mohammed Siraj,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Wanindu Hasaranga,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Karn Sharma,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Virat Kohli,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
Suyash Prabhudessai,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Siddharth Kaul,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Finn Allen,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
David Willey,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Anuj Rawat,Retained,WICKETKEEPER,0.0,0.0,RCB,Royal Challengers Banglore
Akash Deep,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Dinesh Karthik,Retained,WICKETKEEPER,0.0,0.0,RCB,Royal Challengers Banglore
Faf Du Plessis,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
Harshal Patel,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Glenn Maxwell,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
Josh Hazlewood,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
Jason Holder,20000000,ALL-ROUNDER,5.75,690.0,LSG,Rajasthan Royals
K.M. Asif,3000000,BOWLER,0.3,36.0,CSK,Rajasthan Royals
Murugan Ashwin,2000000,BOWLER,0.2,24.0,MI,Rajasthan Royals
Sanju Samson,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
Riyan Parag,Retained,ALL-ROUNDER,0.0,0.0,RR,Rajasthan Royals
R. Ashwin,Retained,ALL-ROUNDER,0.0,0.0,RR,Rajasthan Royals
Shimron Hetmyer,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
Trent Boult,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Prasidh Krishna,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Yuzvendra Chahal,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Yashasvi Jaiswal,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
K.C Cariappa,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Dhruv Jurel,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
Devdutt Padikkal,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
Jos Buttler,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
Kuldeep Sen,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Navdeep Saini,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Kuldip Yadav,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Obed Mccoy,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
Mayank Agarwal,10000000,BATSMAN,8.25,990.0,PBKS,Sunrisers Hyderabad
Mayank Markande,5000000,BOWLER,0.5,60.0,MI,Sunrisers Hyderabad
Anmolpreet Singh,2000000,BATSMAN,0.2,24.0,MI,Sunrisers Hyderabad
Marco Jansen,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
Rahul Tripathi,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
Umran Malik,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
Washington Sundar,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
Kartik Tyagi,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
T. Natarajan,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
Fazalhaq Farooqi,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
Abdul Samad,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
Abhishek Sharma,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
Aiden Markram,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
Bhuvneshwar Kumar,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
Glenn Phillips,Retained,WICKETKEEPER,0.0,0.0,SRH,Sunrisers Hyderabad
