Year_x,Month_x,Product code_x,Bureau of Meteorology station number_x,Day_x,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality_x,Date,Product code_y,Bureau of Meteorology station number_y,Year_y,Month_y,Day_y,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality_y
2008,1,31,31,31,0,0,0,31,31,31,31,31,31,0,0,0
2008,2,29,29,29,0,0,0,29,29,29,29,29,29,0,0,0
2008,3,31,31,31,0,0,0,31,31,31,31,31,31,0,0,0
2008,4,30,30,30,0,0,0,30,30,30,30,30,30,0,0,0
2008,5,31,31,31,0,0,0,31,31,31,31,31,31,0,0,0
2008,6,30,30,30,0,0,0,30,30,30,30,30,30,0,0,0
2008,7,31,31,31,0,0,0,31,31,31,31,31,31,0,0,0
2008,8,31,31,31,0,0,0,31,31,31,31,31,31,0,0,0
2008,9,30,30,30,12,12,12,30,30,30,30,30,30,11,11,11
2008,10,31,31,31,29,29,29,31,31,31,31,31,31,29,29,29
2008,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2008,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2009,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2009,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2009,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2009,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2009,11,30,30,30,29,29,29,30,30,30,30,30,30,29,29,29
2009,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,1,31,31,31,29,29,29,31,31,31,31,31,31,28,28,28
2010,2,28,28,28,28,28,28,28,28,28,28,28,28,27,27,27
2010,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2010,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2010,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2010,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2010,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2010,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2011,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
